"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bhutan","BTN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3239.2521926197","3083.34894003957","3225.26294223924","3340.70760451514","3660.98833285469","3839.3462085525","4055.24146063546","4339.40264733372","4222.30574628778","4351.38314025326","5312.11753125471","5594.46658196125","5995.50317695232","6300.35380559442","6489.68724947932","6887.54527003681","7128.6377654734","8082.68445855613","8285.73365835593","8740.65099814891","9641.04251792369","10264.7019123943","10472.3175440817","10581.3734747274","11212.4435687744","11981.9991769363","12551.6273803487","12568.4642522137","12713.7650229064","13214.3034670111","12286.6814868641","12697.5526242547","12713.9113479367","13239.7011889342","",
"Botswana","BWA","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7507.52319295779","8055.16408362672","8116.81682939593","8552.23289838503","7440.19093888193","7995.48688090158","7820.52355955699","8578.12807247375","9780.35690753439","9239.09925234007","9054.5268699423","9389.75282860827","8754.03854338131","9861.49958610126","9643.72664485123","9452.03059606588","10575.2922350919","11679.6038810616","12644.2156974192","11819.6861535146","12655.5332270949","14475.6951707523","14465.6631264952","14675.674326009","16311.0605423203","15075.5057101013","16379.2374646388","15526.7153639584","15466.8120280029","17521.6809125053","16765.8579867334","17996.4342503299","19332.1594883472","19060.9054268781","",
"Central African Republic","CAF","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1339.29056465126","1390.37922180181","1354.33957562597","1385.26885299453","844.817307828475","835.554969794878","878.504923003059","917.374772712062","968.232930318986","1205.98994124745","1229.36618041626","1200.16798764072","1205.55490803321","1200.59438015657","1201.84239152429","1179.50531285154",
"Canada","CAN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36818.7675145519","35548.8130066389","35216.4510939376","35668.6172464636","36739.1917903618","37753.9773308793","38230.4613827288","39420.3253431688","39887.1811030403","41834.3486773914","44719.539779154","44750.4883462449","45251.1206157594","46498.8966303574","48328.983808671","50044.9465926112","51224.4321021444","52310.8307619197","53018.7883894297","49193.4699369911","50812.6382169301","52458.1772242131","52628.1481788593","53534.6570460475","54212.1393018688","52945.7659764118","52857.2453374106","54426.6495806444","54995.7728379043","55342.7798375405","51712.853865894","56471.2680552037","58337.1353552411","56168.4719859372","55318.6112749144",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15113.8587462205","15738.7838258466","15986.9161023526","16635.0654450296","16912.8673374558","17587.8700782512","18284.544036308","19105.9392608241","19787.3653245369","20930.7532084312","22163.4791818136","23519.8754721092","25269.8402040344","26651.8704548013","25996.7692783599","26291.0622060191","27131.3395543943","27324.0049044343","27807.2732157044","29003.6339123378","30382.011244358","31564.324806579","33302.6114553547","35079.3253954765","36907.2011890391","36501.2373296198","38885.785539374","39604.2803954211","40734.7924495128","42025.7373675028",
"Switzerland","CHE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65422.1098673117","65434.1326392203","67279.4525800994","69646.4110147627","71111.4734116921","73635.3086464802","72548.850769289","71793.2982985368","74405.383708691","75306.1244382762","77954.1764399942","79702.4175291636","76710.2415662242","72193.1974089037","76193.6419301182","81164.2623076189","78286.2554560276","79374.2186184832","79053.7718661385","78331.293216401","79881.8952670654","78305.9774164002","77292.4332454229","77089.632887681","77531.4533711447","73848.8275073855","78091.8086766356","81469.2834781443","79631.6407153478","",
"Channel Islands","CHI","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9020.45098963692","9554.18029638495","10383.731660583","10856.3593920282","11367.3802688491","12628.3582415809","12816.160711312","13495.7427069315","13808.7379460974","13579.0077958828","14040.1579443609","14167.1837562396","14402.0145762246","15067.3554407248","16307.562126113","17476.2975092351","19367.5847364622","20550.277246576","19739.8099485757","19923.5839134175","21980.8610869964","22504.4797821059","23936.7725118432","24546.9642894325","24539.6224063188","25120.5027847936","25403.2937668063","25654.9432280924","25955.863293991","25663.005991562","23953.4819607289","27443.5912571364","27302.912125769","27878.8984360499","28707.1035801015",
"China","CHN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20701.1336318515","","","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2615.52584885781","2754.06010666699","3035.74729722728","2746.39280636117","2888.91650822707","3198.9293945662","4786.11724146473","5089.70481142068","5334.45818418019","5383.01747753674","5459.21693592668","5669.42668103699","5668.89613826607","5859.40175291878","5974.87793891663","6264.00687085543","6791.52899752588",
